Clase de aviso;Ubicac.técnica;Denominación;Equipo;Denominación;Creado el;Fecha ref.;Aviso;Orden;Autor del aviso;Descripción;Fecha de aviso;Status sistema;Fecha de cierre;Costo ML;Moneda
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);31.08.2026;31.08.2026;11919814;9580874;12000PAE;MA I CAMBIO DE SELLO DE TQ13 JT;31.08.2026;MECE ORAS;31.08.2026;7.63;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-TRB-01;TRIBLENDER;31.08.2026;31.08.2026;11919869;9577439;76001959;SG| VALVULA DN100 NO SELLA TRIBLENDER;31.08.2026;MEAB;;0.76;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;30.08.2026;30.08.2026;11919590;9581735;12000PAE;SC ICAMBIO DE TERMOMETRO TECI 3013 CIP3;30.08.2026;METR ORAS;;6.15;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6705-01;TANQUE 5 DE JARABE TERMINADO (6705);30.08.2026;30.08.2026;11919531;9581734;12000PAE;MA I CAMBIO EMPAQUE VALVULA JS TQ5 JARTE;30.08.2026;METR ORAS;;29.95;USD
ZN;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-TOE-01;TORRE DE ENFRIAMIENTO (JARABE SIMPLE);30.08.2026;31.08.2026;8000066687;9554510;76001946;SEG|CAMB DAÑO DE FLOTADOR TORRE ENFRIA;30.08.2026;MEAB;;3.50;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6709-01;TANQUE 9 DE JARABE TERMINADO (6709);28.08.2026;31.08.2026;11918923;9579892;76002032;SEG|DAÑO EN MOTOBOMBA DE JARTER TQ9;28.08.2026;MECE ORAS;31.08.2026;9.50;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-01;TANQUE 14 DE JARABE TERMINADO (6714);28.08.2026;28.08.2026;11918924;9579887;76002032;MA|FUGA SELLO MECANICO DAÑDO TANQUE 14;28.08.2026;MECE ORAS;28.08.2026;16.25;USD
ZN;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6707-01;TANQUE 7 DE JARABE TERMINADO (6707);28.08.2026;28.08.2026;8000066663;9579884;76002264;MA | CAMBIAR ROSCA DE VALVULA TQ7 JT;28.08.2026;METR ORAS;;17.95;USD
ZN;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESIF-FI2-01;FILTRO 2 (JARABE SIMPLE);28.08.2026;28.08.2026;8000066675;9580093;12000PAE;MA | fuga en mangera neumatico F2;28.08.2026;MECE ORAS;28.08.2026;17.50;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-TEC-01;TECLE JTR PARA CARGA CONCENTRAD (DIABLO);27.08.2026;27.08.2026;11918812;9554510;76001959;SEG| RODOS DE YALE EN MALAS CONDICIONES;27.08.2026;MEAB;;5.69;USD
